Time,x(t),y(t),z(t)
0,8.7855,13.4675,105.007
7,15.5863333333333,11.3276666666667,92.9796666666667
14,23.93525,7.43633333333333,77.1155
21,36.97375,3.98666666666667,52.1095
28,49.04975,2.11433333333333,28.309
35,57.19375,1.45833333333333,11.973
42,60.57875,1.15666666666667,5.35825
49,61.82425,0.881666666666666,3.63275
56,62.482,0.602666666666667,3.08975
63,62.76125,0.347,2.877
70,62.841,0.2175,2.81466666666667
